name,ring,quadrant,isNew,status,description
"SASS, SCSS, LESS, and Stylus",Adopt,Languages & Frameworks,FALSE,no change,"<p><a href=""https://sass-lang.com/"" target=""_blank"" aria-label=""SASS. This is an external link. Opens in new tab"" class=""pop-out""><strong>SASS/SCSS</strong><span class=""pop-out-icon""></span></a>, <a href=""http://lesscss.org/"" target=""_blank"" aria-label=""LESS. This is an external link. Opens in new tab"" class=""pop-out""><strong>LESS</strong><span class=""pop-out-icon""></span></a>, and <a href=""https://stylus-lang.com/"" target=""_blank"" aria-label=""Stylus. This is an external link. Opens in new tab"" class=""pop-out""><strong>Stylus</strong><span class=""pop-out-icon""></span></a> are popular CSS preprocessors that enhance traditional CSS with advanced features like variables, mixins, nesting, and functions, enabling more maintainable and scalable stylesheets. These tools help streamline the writing of complex styles, reduce redundancy, and improve the developer experience.</p>
<p>At Mable, we leverage SASS/SCSS for most of our projects, as it provides a well-established and widely supported ecosystem with extensive community resources. LESS and Stylus are also considered for specific use cases, with LESS being more common in legacy projects, while Stylus appeals for its minimalistic syntax and flexibility. While these preprocessors can be powerful in large-scale projects, our current focus is on ensuring consistent use of SASS/SCSS due to its widespread adoption, compatibility, and integration with modern front-end tools and frameworks like Webpack and PostCSS.</p>"
Ruby,Adopt,Languages & Frameworks,FALSE,no change,"<p><a href=""https://www.ruby-lang.org/"" target=""_blank"" aria-label=""Ruby. This is an external link. Opens in new tab"" class=""pop-out""><strong>Ruby</strong><span class=""pop-out-icon""></span></a> is a dynamic, open-source programming language known for its simplicity and developer-friendly syntax. It emphasizes readability and productivity, making it an ideal choice for rapid application development. Ruby is particularly well-known for its association with the **Ruby on Rails** framework, which accelerates web application development through convention over configuration and an extensive ecosystem of libraries and tools. At Mable, Ruby remains a key part of our back-end stack, especially for building robust, scalable web applications. Its focus on clean, concise code and developer happiness aligns well with our goals of building maintainable and efficient software solutions. While newer technologies continue to emerge, Ruby’s mature ecosystem, active community, and well-established best practices keep it a reliable and effective choice for web development.</p>"
Contentful,Assess,Platforms,FALSE,no change,"<p><a href=""https://www.contentful.com/"" target=""_blank"" aria-label=""Contentful. This is an external link. Opens in new tab"" class=""pop-out""><strong>Contentful</strong><span class=""pop-out-icon""></span></a> is a powerful, flexible content management system (CMS) that enables teams to deliver content across multiple channels with ease. As a headless CMS, Contentful allows content to be stored in a structured format and delivered through APIs to any device or platform, providing greater flexibility and scalability for modern web applications. At Mable, Contentful offers a reliable solution for managing content in a way that supports both structured data and rich media, while integrating seamlessly with our front-end frameworks and other platforms. With its robust API, customisation options, and strong developer ecosystem, Contentful empowers us to create dynamic, multi-platform experiences that scale with our needs, making it a core part of our content strategy moving forward.</p>"
GitHub Actions,Adopt,Platforms,FALSE,no change,"<p><a href=""https://github.com/features/actions"" target=""_blank"" aria-label=""GitHub Actions. This is an external link. Opens in new tab"" class=""pop-out""><strong>GitHub Actions</strong><span class=""pop-out-icon""></span></a> is an automation platform that enables continuous integration and continuous deployment (CI/CD) directly within GitHub repositories. With GitHub Actions, teams can automate workflows for tasks like testing, building, and deploying code, all without leaving the GitHub ecosystem. Its flexibility allows for complex workflows with triggers, dependencies, and conditions, enabling seamless automation for various development pipelines. At Mable, we use GitHub Actions to streamline our build and deployment processes, improving efficiency and consistency across our projects. The deep integration with GitHub, combined with an expansive set of pre-built actions and a growing ecosystem, makes GitHub Actions an essential tool for managing our CI/CD needs and enhancing our development workflows.</p>"
AWS,Adopt,Platforms,FALSE,no change,"<p><a href=""https://aws.amazon.com/"" target=""_blank"" aria-label=""AWS. This is an external link. Opens in new tab"" class=""pop-out""><strong>AWS (Amazon Web Services)</strong><span class=""pop-out-icon""></span></a> is a comprehensive and widely adopted cloud computing platform that provides a wide range of services, including computing power, storage, databases, networking, machine learning, and more. AWS allows businesses to scale their infrastructure as needed, providing on-demand resources that help reduce costs and improve flexibility. At Mable, we rely on AWS for hosting our applications, managing databases, handling file storage, and managing scalable compute resources through services like EC2, S3, and CloudFront. The robust set of tools and global infrastructure make AWS a cornerstone of our cloud strategy, enabling us to deploy, monitor, and scale applications efficiently while maintaining high availability and security.</p>"
Electron,Assess,Platforms,FALSE,no change,"<p><a href=""https://www.electronjs.org/"" target=""_blank"" aria-label=""Electron. This is an external link. Opens in new tab"" class=""pop-out""><strong>Electron</strong><span class=""pop-out-icon""></span></a> is an open-source framework that allows developers to build cross-platform desktop applications using web technologies such as HTML, CSS, and JavaScript. By combining the Chromium rendering engine and Node.js, Electron enables the creation of native desktop applications with a single codebase that works across Windows, macOS, and Linux. At Mable, we use Electron to deliver desktop applications that leverage our existing web application stack while ensuring a seamless experience across multiple operating systems. Its ease of use and large ecosystem of libraries and tools make Electron an ideal choice for building powerful, modern desktop apps, though it does come with challenges related to application size and performance, which require careful optimization for production use.</p>"
Kubernetes,Trial,Platforms,FALSE,no change,"<p><a href=""https://kubernetes.io/"" target=""_blank"" aria-label=""Kubernetes. This is an external link. Opens in new tab"" class=""pop-out""><strong>Kubernetes</strong><span class=""pop-out-icon""></span></a> is an open-source container orchestration platform that automates the deployment, scaling, and management of containerized applications. Kubernetes abstracts away much of the complexity associated with managing large-scale container environments, providing powerful features such as auto-scaling, load balancing, and self-healing. At Mable, Kubernetes is integral to our microservices architecture, enabling us to efficiently deploy, manage, and scale our applications across various environments, from development to production. With its growing ecosystem and strong support for hybrid and multi-cloud environments, Kubernetes helps ensure reliability, scalability, and continuous delivery in our platform infrastructure, making it a key tool for modern application deployment and management.</p>"
AWS Lambda,Trial,Platforms,FALSE,no change,"<p><a href=""https://aws.amazon.com/lambda/"" target=""_blank"" aria-label=""AWS Lambda. This is an external link. Opens in new tab"" class=""pop-out""><strong>AWS Lambda</strong><span class=""pop-out-icon""></span></a> is a serverless compute service that lets you run code without provisioning or managing servers. AWS Lambda automatically scales applications by running code in response to events such as HTTP requests, file uploads, or database changes. This on-demand execution model helps reduce costs by charging only for the compute time used, rather than for idle server capacity. At Mable, we leverage AWS Lambda for handling event-driven tasks and microservices, simplifying our architecture by eliminating the need for managing dedicated servers. With its seamless integration with other AWS services, Lambda provides a powerful and cost-effective solution for running scalable, high-performance applications in the cloud.</p>"
Amazon API Gateway,Trial,Platforms,FALSE,no change,"<p><a href=""https://aws.amazon.com/api-gateway/"" target=""_blank"" aria-label=""Amazon API Gateway. This is an external link. Opens in new tab"" class=""pop-out""><strong>Amazon API Gateway</strong><span class=""pop-out-icon""></span></a> is a fully managed service that makes it easy to create, publish, maintain, monitor, and secure APIs at any scale. It acts as a gateway for routing, traffic management, authorization, and access control to backend services, including AWS Lambda functions, EC2 instances, or any publicly accessible web service. API Gateway handles traffic spikes, supports the creation of RESTful APIs, WebSocket APIs, and even GraphQL endpoints, simplifying API management. At Mable, we use Amazon API Gateway to create secure, scalable APIs that integrate seamlessly with our AWS infrastructure. Its tight integration with AWS Lambda and other AWS services makes it an ideal choice for building and deploying microservices and serverless architectures while reducing the operational overhead of managing infrastructure.</p>"
Docker,Hold,Platforms,FALSE,moved out,"<p><a href=""https://www.docker.com/"" target=""_blank"" aria-label=""Docker. This is an external link. Opens in new tab"" class=""pop-out""><strong>Docker</strong><span class=""pop-out-icon""></span></a> is a platform for developing, shipping, and running applications inside lightweight, portable containers. Docker containers package an application and its dependencies into a single unit, ensuring consistency across different environments, from development to production. It allows developers to run applications in isolated environments, reducing conflicts between dependencies and improving deployment efficiency. At Mable, Docker plays a crucial role in our DevOps pipeline, enabling us to easily build, test, and deploy applications across various environments. Its support for containerization, scalability, and integration with orchestration tools like Kubernetes allows us to manage complex applications with ease, providing both speed and flexibility in our development and deployment processes.</p>"
AWS ECS,Trial,Platforms,FALSE,no change,"<p><a href=""https://aws.amazon.com/ecs/"" target=""_blank"" aria-label=""AWS ECS. This is an external link. Opens in new tab"" class=""pop-out""><strong>AWS ECS (Elastic Container Service)</strong><span class=""pop-out-icon""></span></a> is a fully managed container orchestration service that simplifies the deployment, management, and scaling of containerized applications using Docker. ECS supports both microservices and monolithic applications, providing a seamless environment for running containers at scale. It integrates natively with other AWS services such as IAM, CloudWatch, and ELB to enhance security, monitoring, and load balancing. At Mable, we use ECS for orchestrating and managing Docker containers, enabling efficient scaling and resource management without needing to manage the underlying infrastructure. With ECS's support for both EC2 instances and AWS Fargate for serverless compute, it offers flexibility in how we deploy and manage our containerized applications, streamlining our development and operational workflows.</p>"
Redis,Trial,Platforms,FALSE,no change,"<p><a href=""https://redis.io/"" target=""_blank"" aria-label=""Redis. This is an external link. Opens in new tab"" class=""pop-out""><strong>Redis</strong><span class=""pop-out-icon""></span></a> is an open-source, in-memory data store that is commonly used as a cache, message broker, and task queue. Known for its high performance and low latency, Redis supports a variety of data structures such as strings, hashes, lists, sets, and more, making it a versatile tool for a wide range of use cases. At Mable, we use Redis to enhance application performance by caching frequently accessed data, reducing database load, and speeding up response times. Additionally, Redis is integral to our real-time messaging systems and task management workflows, offering both reliability and scalability. Its rich set of features and widespread adoption in the industry make Redis a key component of our infrastructure for optimizing speed and efficiency in data processing and storage.</p>"
Node.js,Adopt,Platforms,FALSE,no change,"<p><a href=""https://nodejs.org/"" target=""_blank"" aria-label=""Node.js. This is an external link. Opens in new tab"" class=""pop-out""><strong>Node.js</strong><span class=""pop-out-icon""></span></a> is an open-source, cross-platform JavaScript runtime environment that enables developers to execute JavaScript code server-side. Built on Chrome's V8 JavaScript engine, Node.js allows for high-performance, event-driven, and non-blocking I/O operations, making it ideal for building scalable network applications. At Mable, Node.js powers several key backend services, enabling us to handle asynchronous tasks, manage APIs, and build real-time applications. Its extensive package ecosystem via npm and the ability to use a single language for both client-side and server-side development streamline our development process. Node.js's performance, scalability, and ease of use continue to make it a vital part of our infrastructure, particularly for microservices and serverless architectures.</p>"
Elastic Search,Hold,Platforms,FALSE,moved out,"<p><a href=""https://www.elastic.co/elasticsearch/"" target=""_blank"" aria-label=""ElasticSearch. This is an external link. Opens in new tab"" class=""pop-out""><strong>ElasticSearch</strong><span class=""pop-out-icon""></span></a> is a distributed, RESTful search and analytics engine designed for handling large volumes of data in real time. As part of the Elastic Stack, ElasticSearch allows for fast, scalable, and efficient full-text search, log analysis, and data aggregation across a wide variety of use cases, from enterprise applications to website search functionality. At Mable, we use ElasticSearch to power advanced search capabilities and provide quick access to large datasets in our platform, including structured and unstructured data. Its ability to scale horizontally and integrate seamlessly with other tools in the Elastic Stack (like Kibana for visualization and Logstash for log processing) makes it a valuable asset for building real-time search and analytics solutions, enhancing both performance and user experience.</p>"
Heroku,Hold,Platforms,FALSE,moved out,"<p><a href=""https://www.heroku.com/"" target=""_blank"" aria-label=""Heroku. This is an external link. Opens in new tab"" class=""pop-out""><strong>Heroku</strong><span class=""pop-out-icon""></span></a> is a cloud platform that enables developers to build, run, and operate applications entirely in the cloud. Known for its simplicity and ease of use, Heroku abstracts away much of the complexity of infrastructure management, allowing developers to focus on writing code. It supports multiple programming languages, including Ruby, Node.js, Python, and Java, and provides a variety of add-ons for databases, caching, and monitoring. At Mable, we use Heroku for rapid prototyping, application deployment, and hosting smaller services. Its managed environment and seamless integration with third-party services make it an excellent choice for building and scaling applications quickly without the overhead of managing infrastructure. While it may not be as customizable as more complex cloud platforms, its speed and ease of use remain key benefits for specific use cases.</p>"
OAuth,Adopt,Platforms,FALSE,no change,"<p><a href=""https://oauth.net/"" target=""_blank"" aria-label=""OAuth. This is an external link. Opens in new tab"" class=""pop-out""><strong>OAuth</strong><span class=""pop-out-icon""></span></a> is an open-standard authorisation protocol that allows third-party applications to securely access user data without exposing their credentials. OAuth enables users to grant permissions to applications, such as accessing their social media profiles or integrating with other services, while maintaining control over their account security. It is widely used for single sign-on (SSO) scenarios, ensuring that users can authenticate across multiple platforms using a single set of credentials. At Mable, we leverage OAuth for secure integrations with external services and to provide seamless user authentication flows. By implementing OAuth, we can ensure that sensitive user data is protected, while offering users a smooth experience when accessing our platform via third-party applications or services.</p>"
Warp,Adopt,Tools,FALSE,moved in,"<p><a href=""https://www.warp.dev/"" target=""_blank"" aria-label=""Warp. This is an external link. Opens in new tab"" class=""pop-out""><strong>Warp</strong><span class=""pop-out-icon""></span></a> is a modern terminal designed to boost developer productivity with a sleek, user-friendly interface and advanced features. Unlike traditional terminals, Warp introduces a highly visual experience, enabling developers to interact with their shell environment through rich, contextual output. It supports collaboration, with real-time sharing of terminal sessions, and integrates with tools like GitHub, making it easier to manage code repositories directly from the terminal. At Mable, we are exploring Warp for streamlining our development workflows, enhancing team collaboration, and improving productivity with its fast, intuitive interface. With its ability to handle complex command outputs and provide an enriched user experience, Warp is becoming a valuable tool for modern software development.</p>"
GitHub Copilot,Assess,Tools,FALSE,no change,"<p><a href=""https://copilot.github.com/"" target=""_blank"" aria-label=""GitHub Copilot. This is an external link. Opens in new tab"" class=""pop-out""><strong>GitHub Copilot</strong><span class=""pop-out-icon""></span></a> is an AI-powered code completion tool developed by GitHub in collaboration with OpenAI. Integrated directly into IDEs like Visual Studio Code, Copilot suggests code snippets, functions, and even entire blocks of code based on natural language prompts or the context of your current code. It helps accelerate development by providing relevant code suggestions and reducing the need to search for boilerplate code or documentation. At Mable, we are evaluating GitHub Copilot to enhance productivity and improve the quality of code by offering smart suggestions and reducing repetitive tasks. While it serves as a powerful assistant, we maintain a careful review process to ensure suggestions align with coding standards and project requirements.</p>"
Chromatic,Adopt,Tools,FALSE,moved in,"<p><a href=""https://www.chromatic.com/"" target=""_blank"" aria-label=""Chromatic. This is an external link. Opens in new tab"" class=""pop-out""><strong>Chromatic</strong><span class=""pop-out-icon""></span></a> is a visual testing and collaboration platform designed for UI components. Built on top of Storybook, Chromatic automates visual regression testing by capturing snapshots of your UI and comparing them to previous versions, highlighting any visual changes. This helps to ensure UI consistency across development cycles. It also offers powerful collaboration features, allowing teams to review, comment on, and approve design changes in a shared environment. At Mable, we leverage Chromatic to streamline our component development process, ensuring that UI changes are visually validated and aligned with our design standards. It integrates seamlessly with our CI/CD pipeline, making it an essential tool for maintaining a high-quality user interface while fostering collaboration between developers and designers.</p>"
ChatGPT,Assess,Tools,FALSE,moved in,"<p><a href=""https://chat.openai.com/"" target=""_blank"" aria-label=""ChatGPT. This is an external link. Opens in new tab"" class=""pop-out""><strong>ChatGPT</strong><span class=""pop-out-icon""></span></a> is an advanced AI-powered conversational model developed by OpenAI that can assist with a wide range of tasks, from answering questions to providing coding support and generating content. It leverages the GPT (Generative Pre-trained Transformer) architecture to understand and generate human-like text based on user input. At Mable, we utilize ChatGPT for various internal processes, including helping with documentation, generating code snippets, providing troubleshooting advice, and facilitating idea brainstorming sessions. By integrating ChatGPT into our workflow, we aim to enhance productivity, streamline communication, and assist our team with real-time solutions and suggestions. While ChatGPT is a valuable tool for automating certain tasks, we ensure that its outputs are reviewed to maintain accuracy and quality.</p>"
TruffleHog ,Assess,Tools,FALSE,moved in,"<p><a href=""https://github.com/dxa4481/truffleHog"" target=""_blank"" aria-label=""TruffleHog. This is an external link. Opens in new tab"" class=""pop-out""><strong>TruffleHog</strong><span class=""pop-out-icon""></span></a> is a security tool designed to detect high-entropy strings and secrets such as API keys, tokens, and passwords in your git history. By scanning Git repositories for sensitive information that may have been accidentally committed, TruffleHog helps prevent the accidental exposure of confidential data. It provides real-time detection and can be integrated into CI/CD pipelines for continuous security monitoring. At Mable, we use TruffleHog to ensure that no sensitive data is accidentally committed to our repositories, enhancing our security posture and reducing the risk of leaks. This tool is essential for maintaining secure development practices and protecting sensitive information throughout the development lifecycle.</p>"
Podman,Assess,Tools,FALSE,moved in,"<p><a href=""https://podman.io/"" target=""_blank"" aria-label=""Podman. This is an external link. Opens in new tab"" class=""pop-out""><strong>Podman</strong><span class=""pop-out-icon""></span></a> is an open-source container management tool that is compatible with Docker but offers several advantages, such as rootless container management and daemonless architecture. Podman allows developers to build, manage, and run containers without requiring a background service, providing enhanced security and flexibility, especially in multi-user environments. It also supports Docker CLI commands, making it easy to transition from Docker-based workflows. At Mable, we are exploring Podman for containerization tasks, particularly for environments where security and ease of use are top priorities. With Podman’s ability to run containers as non-root users and its integration with Kubernetes, it is a strong contender for managing containerized applications in a secure, efficient manner.</p>"
Dependabot ,Adopt,Tools,FALSE,no change,"<p><a href=""https://github.com/dependabot"" target=""_blank"" aria-label=""Dependabot. This is an external link. Opens in new tab"" class=""pop-out""><strong>Dependabot</strong><span class=""pop-out-icon""></span></a> is a tool designed to automate dependency management in software projects. Integrated with GitHub, Dependabot helps developers keep their dependencies up to date by automatically generating pull requests (PRs) to update outdated packages. It works across multiple ecosystems, including JavaScript, Ruby, Python, and more. At Mable, we rely on Dependabot to ensure that our dependencies are always current, reducing the risk of security vulnerabilities and improving code stability. With automated version updates and compatibility checks, Dependabot streamlines our workflow and helps maintain a secure, up-to-date codebase without the manual effort typically required for dependency updates.</p>"
Litmus ,Assess,Tools,FALSE,moved in,"<p><a href=""https://www.litmus.com/"" target=""_blank"" aria-label=""Litmus. This is an external link. Opens in new tab"" class=""pop-out""><strong>Litmus</strong><span class=""pop-out-icon""></span></a> is a powerful email testing and analytics platform that helps developers and marketers ensure email campaigns render correctly across different email clients and devices. It provides a suite of tools for creating, testing, and optimizing email designs, including pre-send email previews, automated testing, and real-time analytics. At Mable, we are using Litmus to streamline the process of email development, ensuring that all communications and notifications are consistent, responsive, and visually appealing across all platforms. With its collaborative features, Litmus also facilitates better team communication and alignment during the email creation process, making it an invaluable tool for managing email campaigns effectively.</p>"
Trivy,Assess,Tools,FALSE,moved in,"<p><a href=""https://github.com/aquasecurity/trivy"" target=""_blank"" aria-label=""Trivy. This is an external link. Opens in new tab"" class=""pop-out""><strong>Trivy</strong><span class=""pop-out-icon""></span></a> is an open-source vulnerability scanner designed to detect security issues in containers, infrastructure as code (IaC), and Git repositories. Trivy scans container images, filesystems, and GitHub repositories for known vulnerabilities in dependencies and misconfigurations, helping developers identify and mitigate risks early in the development lifecycle. It integrates seamlessly with CI/CD pipelines to provide continuous vulnerability scanning and supports multiple package managers across various programming languages. At Mable, we use Trivy to enhance the security of our containerized applications, ensuring that our environments are free from vulnerabilities and compliant with best practices. Its speed and simplicity make it an effective tool for continuous security monitoring without adding complexity to our development process.</p>"
Yarn,Adopt,Tools,FALSE,no change,"<p><a href=""https://yarnpkg.com/"" target=""_blank"" aria-label=""Yarn. This is an external link. Opens in new tab"" class=""pop-out""><strong>Yarn</strong><span class=""pop-out-icon""></span></a> is a fast, reliable, and secure package manager for JavaScript and Node.js projects. It was developed by Facebook to address issues with the original npm (Node Package Manager), offering features such as deterministic dependency resolution, faster installs through parallelization, and an offline mode. Yarn also ensures consistency across environments with its lockfile, making it an excellent choice for managing dependencies in large-scale projects. At Mable, we use Yarn for managing our front-end and back-end JavaScript dependencies, as it provides a more streamlined experience, with improved speed and reliability over npm. Yarn integrates seamlessly with our CI/CD pipeline, ensuring that our build and deployment processes are both efficient and consistent.</p>"
Cypress,Adopt,Tools,FALSE,no change,"<p><a href=""https://www.cypress.io/"" target=""_blank"" aria-label=""Cypress. This is an external link. Opens in new tab"" class=""pop-out""><strong>Cypress</strong><span class=""pop-out-icon""></span></a> is a powerful end-to-end testing framework designed for modern web applications. Unlike traditional testing tools, Cypress runs directly in the browser, providing fast, reliable, and real-time feedback for testing user interactions, UI components, and overall application behavior. It simplifies the process of writing, debugging, and running tests by offering features like time travel, automatic waiting, and a clear, user-friendly dashboard. At Mable, we leverage Cypress to ensure that our web applications are thoroughly tested, from unit to integration to end-to-end levels. Its ability to simulate user behavior and catch errors in real-time enhances our ability to ship high-quality, bug-free features with confidence. Cypress fits seamlessly into our CI/CD pipeline, allowing for continuous testing and improving overall development efficiency.</p>"
Figma,Adopt,Tools,FALSE,no change,"<p><a href=""https://www.figma.com/"" target=""_blank"" aria-label=""Figma. This is an external link. Opens in new tab"" class=""pop-out""><strong>Figma</strong><span class=""pop-out-icon""></span></a> is a cloud-based design tool that enables real-time collaboration, making it easy for design teams to create, prototype, and share designs seamlessly. Figma’s intuitive interface and powerful features allow for collaborative design workflows, version control, and easy handoff to developers. Its cloud-based nature means that teams can work from anywhere and share updates in real-time, streamlining the feedback and iteration process. At Mable, Figma is a key tool for creating and refining UI/UX designs for our web applications. It helps ensure consistency in design, improves collaboration between design and development teams, and accelerates the design-to-development handoff. Figma's ability to integrate with other tools in our workflow makes it a cornerstone in our design process.</p>"
